"","X.W..Pollock.model","X.W..Pollock.species","X.W..Pollock.type","X.W..Pollock.year","X.W..Pollock.Age.1","X.W..Pollock.Age.2","X.W..Pollock.Age.3","X.W..Pollock.Age.4","X.W..Pollock.Age.5","X.W..Pollock.Age.6","X.W..Pollock.Age.7","X.W..Pollock.Age.8","X.W..Pollock.Age.9","X.W..Pollock.Age.10","X.W..Pollock.Age.11","X.W..Pollock.Age.12","P..Cod.model","P..Cod.species","P..Cod.type","P..Cod.year","P..Cod.Age.1","P..Cod.Age.2","P..Cod.Age.3","P..Cod.Age.4","P..Cod.Age.5","P..Cod.Age.6","P..Cod.Age.7","P..Cod.Age.8","P..Cod.Age.9","P..Cod.Age.10","P..Cod.Age.11","P..Cod.Age.12","Arrowtooth.model","Arrowtooth.species","Arrowtooth.type","Arrowtooth.year","Arrowtooth.Age.1","Arrowtooth.Age.2","Arrowtooth.Age.3","Arrowtooth.Age.4","Arrowtooth.Age.5","Arrowtooth.Age.6","Arrowtooth.Age.7","Arrowtooth.Age.8","Arrowtooth.Age.9","Arrowtooth.Age.10","Arrowtooth.Age.11","Arrowtooth.Age.12","Arrowtooth.Age.13","Arrowtooth.Age.14","Arrowtooth.Age.15","Arrowtooth.Age.16","Arrowtooth.Age.17","Arrowtooth.Age.18","Arrowtooth.Age.19","Arrowtooth.Age.20","Arrowtooth.Age.21"
"12","mode"," W. Pollock","M2",1990,1.13516,0.0770448,0.0428515,0.0248949,0.00935844,0.00944365,0.00918403,0.0104654,0.00922691,0,0.00277288,0.00458051,"mode","P. Cod","M2",1990,0.277223,0.0757352,0.00321286,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",1990,0.309545,0.0203109,0.0291471,0.00811459,0.00673935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","mode"," W. Pollock","M2",1991,1.19547,0.0653659,0.0368206,0.0232312,0.0068934,0.00816743,0.00728257,0.0108644,0.00895609,0,0.0070117,0.00399948,"mode","P. Cod","M2",1991,0.262059,0.051019,0.00189007,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",1991,0.381756,0.0114065,0.0197732,0.00707546,0.00714956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","mode"," W. Pollock","M2",1992,1.15918,0.048278,0.0245107,0.0160088,0.00485909,0.00441724,0.00519745,0.00529371,0.00658937,0,0.00235396,0.00203703,"mode","P. Cod","M2",1992,0.215312,0.0317553,0.00346399,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",1992,0.345894,0.0414953,0.0123881,0.0039266,0.0056695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","mode"," W. Pollock","M2",1993,1.21037,0.0318851,0.0162663,0.00849574,0.00293181,0.00314334,0.00247588,0.00389377,0.00281419,0,0.00152851,0.00122209,"mode","P. Cod","M2",1993,0.215596,0.0147046,0.00117551,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",1993,0.335392,0.0179758,0.013304,0.00322506,0.00198766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","mode"," W. Pollock","M2",1994,1.56623,0.0567781,0.0259002,0.0146802,0.0042456,0.00485874,0.00379989,0.00486924,0.00506488,0,0.00219891,0.00266517,"mode","P. Cod","M2",1994,0.323224,0.0328051,0.00146608,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",1994,0.516507,0.0282913,0.0259564,0.00333057,0.00145898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","mode"," W. Pollock","M2",1995,1.48255,0.0648538,0.0304496,0.0177177,0.00547015,0.00596082,0.00557757,0.00653622,0.00735387,0,0.00154294,0.00401317,"mode","P. Cod","M2",1995,0.393075,0.0292239,0.00157956,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",1995,0.438444,0.0181911,0.0520435,0.00378975,0.0048962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","mode"," W. Pollock","M2",1996,1.2956,0.0673338,0.0334555,0.0176285,0.00514345,0.00609609,0.00666906,0.00573552,0.00858245,0,0.00103727,0.00591114,"mode","P. Cod","M2",1996,0.274222,0.0697916,0.00150733,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",1996,0.516426,0.0240904,0.0282638,0.00384402,0.00260447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","mode"," W. Pollock","M2",1997,1.15766,0.0550702,0.0282311,0.0180051,0.00457369,0.00505812,0.00665621,0.00632119,0.00971985,0,0.00178446,0.00327942,"mode","P. Cod","M2",1997,0.348252,0.0320253,0.000503857,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",1997,0.365863,0.0174647,0.0297649,0.00449226,0.00941719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","mode"," W. Pollock","M2",1998,1.48226,0.0772566,0.0383252,0.0226837,0.00747808,0.00763412,0.0082156,0.00657501,0.00950078,0,0.00136534,0.00478499,"mode","P. Cod","M2",1998,0.332245,0.0770864,0.00168938,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",1998,0.527355,0.0271471,0.0312513,0.00294589,0.00591301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","mode"," W. Pollock","M2",1999,1.3009,0.0546252,0.0260444,0.0154646,0.00426325,0.00545194,0.0048544,0.0054156,0.00664541,0,0.00277461,0.0028369,"mode","P. Cod","M2",1999,0.283218,0.0316149,0.000503961,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",1999,0.403159,0.0229962,0.0269634,0.00244483,0.00537556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
