#Covars (covariate phase for each covs - do not alter this line)
# Winter_pH_depthavg # Spring_vNorth_surface5m # Spring_uEast_surface5m # Winter_temp_surface5m # Spring_temp_surface5m # Summer_temp_surface5m # Fall_temp_surface5m # Winter_temp_bottom5m # Spring_temp_bottom5m # Summer_temp_bottom5m # Fall_temp_bottom5m # annual_temp_surface5m # annual_temp_bottom5m # Winter_NE_winds # Spring_NE_winds # Summer_NE_winds # Fall_NE_winds # annual_NE_winds # Summer_fracbelow1 # Summer_fracbelow2 # Spring_PhL_integrated # Spring_PhS_integrated # Winter_oxygen_bottom5m # Spring_oxygen_bottom5m # Summer_oxygen_bottom5m # Fall_oxygen_bottom5m # Winter_Cop_integrated # Spring_Cop_integrated # Summer_Cop_integrated # Fall_Cop_integrated # Winter_EupS_integrated # Spring_EupS_integrated # Summer_EupS_integrated # Fall_EupS_integrated # Winter_NCaS_integrated # Spring_NCaS_integrated # Summer_NCaS_integrated # Fall_NCaS_integrated # Winter_largeZoop_integrated # Spring_largeZoop_integrated # Summer_largeZoop_integrated # Fall_largeZoop_integrated
#nspp2 : 
3
#nTyrs : number years for the zooplankton hindcast data 
45
#hind_years : years for covariates 
1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023
#ncov : number of covariates 
42
#nEatcovs : DEFUNCT 
1
#Eat_covs : DEFUNCT 
3
#COVAR_START ##############################################DO NOT REMOVE THIS LINE OR REC FIT WONT RUN!
1.658315 -0.2485099 0.6537772 0.335438 -0.01625577 0.3822734 1.325591 9.585432e-06 0.7795787 0.2816995 -0.3548897 -0.7208238 -1.163266 -0.6993634 -0.6514794 0.3734467 -0.6694557 -0.03637351 -0.5309874 -0.5702953 -0.7329612 -1.531129 1.573528 -1.1031 1.30935 0.5606277 1.007302 -0.5231845 -0.6031499 -1.602915 -1.272129 -0.7093372 -0.7687664 -1.992093 -0.6788476 0.8174604 1.664423 2.489873 0.7143493 1.153112 1.003566 -0.5042336 -0.4001759 8.300639e-17 8.300639e-17
# Spring_temp_bottom5m : Spring_temp_bottom5m
2.204508 1.109111 1.652649 0.1600923 0.9533543 -0.5495663 -0.6595788 -0.5923965 1.024557 -0.4742802 0.6767094 0.1200647 -0.1939262 -1.124714 1.048094 -0.1792873 -0.9581417 0.3835516 -0.6073699 0.7382653 -1.245374 -0.4391676 0.09538644 0.2383038 0.9666825 0.3189474 0.3933573 -0.5930914 -1.289016 -1.522247 -1.493845 -1.270094 -1.19423 -1.928743 -0.9947417 0.6902511 0.3725763 1.918372 -0.4672375 1.228655 1.540077 -0.3485599 0.2920419 4.035249e-17 4.035249e-17
# Summer_temp_bottom5m : Summer_temp_bottom5m
2.199034 1.258359 1.389385 0.8712719 0.8089688 -0.9639733 -0.2224089 -0.4809 1.189194 0.1193176 0.765561 0.4047102 -0.1842668 -1.12184 1.200898 0.07616609 -1.071842 0.3459995 -0.6022425 0.6643281 -1.275309 -0.4652864 -0.06454769 0.2426024 0.8924411 0.2607327 0.3854307 -0.8224109 -1.578266 -1.530471 -1.523642 -1.412949 -0.870681 -2.117939 -1.096928 0.4308137 0.409141 1.578249 -0.4082949 1.068781 1.075477 -0.37691 0.5542458 1.13584e-16 1.13584e-16
# Fall_temp_bottom5m : Fall_temp_bottom5m
1.516733 1.254261 0.8384918 0.8222742 1.191795 -0.1481738 0.5281294 0.3909119 0.7862017 0.1295604 0.3498821 0.1669953 0.1095411 -1.219814 1.377593 -0.4031034 -1.213707 -0.1671148 -0.8558811 0.3437526 -1.561879 0.1122013 -0.4798576 0.6072156 0.9403074 0.1372918 0.00693129 -0.6915813 -1.386711 -1.762173 -1.667584 -0.8579408 -1.037453 -2.497577 -0.6565679 0.9275115 0.9278081 1.886032 0.122086 0.8428597 1.344261 -0.4802168 -0.5732919 2.078794e-16 2.078794e-16
# annual_temp_surface5m : annual_temp_surface5m
1.4694 0.4862123 1.18771 -0.2102014 0.9271498 0.5037942 -0.07529115 -0.1886604 0.4714734 -0.2244909 0.1116386 0.1043729 -0.09298302 -0.7325402 0.6790148 -0.2916228 -0.4379657 -0.08792736 -0.1511962 -0.9153457 -1.535656 -0.7414171 -0.1183855 0.3442445 1.169248 0.9906226 0.4787794 -0.7446429 -0.9117853 -1.759801 -1.515619 -1.197303 -1.412041 -2.428468 -1.0686 1.186055 0.9223467 2.31614 0.332472 0.97615 1.950999 0.3170779 -0.08295749 -1.581167e-16 -1.581167e-16
# annual_temp_bottom5m : annual_temp_bottom5m
