#Models
# hindcast # H16_CMIP5_CESM_BIO_rcp85 # H16_CMIP5_CESM_rcp45 # H16_CMIP5_CESM_rcp85 # H16_CMIP5_GFDL_BIO_rcp85 # H16_CMIP5_GFDL_rcp45 # H16_CMIP5_GFDL_rcp85 # H16_CMIP5_MIROC_rcp45 # H16_CMIP5_MIROC_rcp85 # K20P19_CMIP5_CESM_rcp45 # K20P19_CMIP5_CESM_rcp85 # K20P19_CMIP5_GFDL_rcp45 # K20P19_CMIP5_GFDL_rcp85 # K20P19_CMIP5_MIROC_rcp45 # K20P19_CMIP5_MIROC_rcp85 # K20P19_CMIP6_cesm_ssp126 # K20P19_CMIP6_cesm_ssp585 # K20P19_CMIP6_gfdl_ssp126 # K20P19_CMIP6_gfdl_ssp585 # K20P19_CMIP6_miroc_ssp126 # K20P19_CMIP6_miroc_ssp585
#nEatcovs
1
#Eat_covs
3
#n_fut_itr : number of future temperature simulations 
21
#nyrs_fut : (1, n_fut_itr) number years for the zooplankton data 
79
#fut_years : matrix(n_fut_itr,nyrs_fut) years for the zooplankton data 
2022 2023 2024 2025 2026 2027 2028 2029 2030 2031 2032 2033 2034 2035 2036 2037 2038 2039 2040 2041 2042 2043 2044 2045 2046 2047 2048 2049 2050 2051 2052 2053 2054 2055 2056 2057 2058 2059 2060 2061 2062 2063 2064 2065 2066 2067 2068 2069 2070 2071 2072 2073 2074 2075 2076 2077 2078 2079 2080 2081 2082 2083 2084 2085 2086 2087 2088 2089 2090 2091 2092 2093 2094 2095 2096 2097 2098 2099 2100
#ncov_fut : number of covariates 
61
-1.024362 -0.5061558 1.353941 -0.4729001 1.844119 -2.428117 0.3240477 -0.2835351 0.01583597 0.4346581 1.551539 1.091924 0.6070701 -0.06793942 -0.1158634 0.6982722 -2.295562 -0.6036545 2.301839 0.3695432 0.9204095 1.268752 0.8656744 0.1388746 -0.3426643 0.4137046 0.4960536 -1.709066 -0.5878248 0.438882 -1.557452 -0.9539545 3.151801 -0.2492154 1.292921 -1.273334 -0.1981799 1.087259 -1.352117 -1.590843 0.4345656 -2.290961 0.2100363 -3.558557 -0.2414708 -0.3669325 -0.3548733 -3.492911 -0.4118596 -1.971294 -0.5848254 -2.796281 -1.385527 -2.038375 -1.546788 -2.033662 -5.103191 -3.681689 -3.685162 -4.202967 -4.791748 -6.110305 -1.14935 -1.454445 -2.679182 -1.081491 -2.800545 -3.038346 -2.870425 -3.44397 -4.3482 -4.190335 -2.701939 -5.998585 -4.758471 -4.681846 -5.236544 -6.409802 -6.409802
###########################################################
# srvy_rep_Eup_tot_surface5m
-0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742 -0.3201742
-0.3313826 1.255433 0.7725144 0.9938052 0.7522921 -0.3613847 -0.2989275 -3.255219 0.4211556 1.367069 -1.894597 -2.36297 1.804432 0.2387502 -0.276506 -3.052043 -1.731635 0.3775689 0.7824318 1.480379 0.8229473 0.7950803 -0.00183724 -1.82974 0.9749054 0.3135448 -2.458369 -0.8000395 -1.863465 -4.024787 0.5135964 0.6514238 -2.261521 -3.885366 -11.2049 -1.437402 -0.6495788 -8.435077 -2.355937 -4.267007 -0.9749891 -3.955625 -1.738178 -4.730969 -2.999834 -3.366177 -2.488551 -5.742773 -0.5970174 -1.800522 -2.424522 -4.675057 -2.0406 -4.027303 -1.242079 -3.269655 -7.814158 -1.923629 -3.756986 -9.989219 -5.984834 -6.77645 -7.656419 -4.469649 -5.357292 -6.780616 -6.421734 -7.996105 -5.101879 -3.748332 -1.724934 -5.970417 -4.014283 -5.871305 -5.97955 -0.8943052 -7.814164 -11.88182 -11.88182
0.0866482 0.2939233 -1.519182 0.5339523 0.2416155 -2.151312 0.4160411 0.8275221 0.7747449 0.3296453 0.08933907 0.2860796 -1.092153 -0.217972 0.1707406 -0.4042937 -0.158115 0.9924339 -0.611534 0.5100254 -0.5152571 0.6091755 -0.5250035 0.1020396 -0.08100345 -0.3881537 -0.2933179 -0.6228787 -0.1405066 -0.2288736 0.4881424 0.9197524 0.7977005 0.003900862 -2.877322 -1.925724 0.09868954 -0.7157627 0.7140084 -1.546281 -0.8582623 1.088423 0.5738585 0.1302729 -1.587847 0.6321788 0.02753516 -2.642051 -0.5525213 -1.169521 0.6184436 -0.3148692 -1.841446 -2.294218 -2.204964 -0.9346724 0.06191195 1.003484 0.1638415 0.1638415 0.1638415 0.1638415 0.1638415 0.1638415 0.1638415 0.1638415 0.1638415 0.1638415 0.1638415 0.1638415 0.1638415 0.1638415 0.1638415 0.1638415 0.1638415 0.1638415 0.1638415 0.1638415 0.1638415
-0.09706225 0.9153052 0.6433006 0.8051029 1.164712 0.04976027 -0.9877013 -3.380743 0.6242944 1.023577 -3.043806 -1.787311 1.062295 -0.4693778 -0.0280276 -2.505512 -1.690146 0.6638612 1.035578 1.309797 0.9122102 0.797219 0.2130597 -0.3747919 1.176985 0.6904016 -3.873137 -1.047704 -1.347916 -3.983717 0.6076954 0.6105037 -2.859901 -4.611373 -9.755278 -0.7606199 0.2652457 -8.107538 -2.958475 -3.400017 -0.4489522 -3.159986 -0.8962748 -4.585925 -2.819513 -3.344335 -1.683777 -4.581417 0.0421877 -1.804176 -1.791923 -3.85421 -1.401361 -3.23413 -1.017039 -2.093362 -7.184779 -1.45698 -2.900147 -9.376765 -4.358052 -5.808091 -6.572423 -4.07261 -4.319836 -5.33017 -5.921102 -6.918046 -3.56638 -2.593769 -1.117613 -6.001071 -3.340197 -4.315114 -5.886958 -0.8177986 -6.99961 -10.31871 -10.31871
0.7446425 0.2044507 0.420584 -0.1045656 -0.1769786 -0.5172349 0.9566179 1.057302 -0.4577977 -0.7305141 0.6608873 -1.825012 -0.1680796 0.3839109 0.6162212 -1.022439 -1.47489 0.07587395 -0.8010624 0.1034206 0.9127891 0.3049269 0.6299871 0.7065117 0.9671415 0.5593343 0.5176691 0.3966561 0.556183 0.6983783 0.8889545 0.4824935 0.8830198 0.05682992 0.7474 0.6445824 0.7839965 1.190739 0.5699737 -0.5340639 0.9443919 0.7043434 0.3590285 -1.612616 0.202295 0.7641126 -1.2323 0.874405 1.293483 0.7208324 0.6055586 1.098695 0.3992074 0.7603248 0.9425175 0.8535788 0.5840711 1.201352 0.9396369 0.9969021 0.5963807 0.7664636 0.2206753 -0.04119549 0.5835524 0.656547 0.9733908 0.6684741 1.320395 0.7905227 0.3565122 0.547988 0.2619167 0.4258063 1.026621 1.140857 -0.01589489 1.153229 1.153229
0.03706899 -1.621119 -0.004629795 0.1227707 0.08238685 -2.156673 0.01925115 -0.399447 0.04284712 -0.09297661 -1.241625 -1.078089 -0.04155233 0.006227507 -0.1888345 -0.07809662 0.3974901 -0.5165346 0.8012762 -0.3805353 0.4623673 -3.173299 -0.9883914 0.554055 -1.623143 -0.2477218 0.3561787 -0.151123 -2.836829 -0.1176837 0.204985 -0.1492573 -1.693801 -2.974165 -0.3737252 -0.727341 -2.526421 0.7125293 -1.084727 0.2425371 0.3876701 -0.6058209 -0.6249215 -0.4382575 -0.4832003 0.2937395 0.2987463 -0.1935115 -0.1990876 -3.333176 -1.813183 0.5553445 0.5079562 -1.590017 -0.7489537 -0.9270207 0.6416302 0.1116957 -0.2341562 -1.407232 -2.316154 0.2318934 -1.550191 -1.098797 -1.634152 -2.548884 -2.029514 0.07155736 -1.018833 0.08423806 0.08489076 -0.6227913 -0.8711296 0.08682596 0.3768537 -2.127007 -2.652184 -0.1257167 -0.1257167
1.170547 -0.04852664 0.5595048 0.08069927 0.1650725 -1.386974 0.7467092 1.45327 -0.3745152 -0.7209618 0.7579689 -2.257912 -0.3621214 0.3668881 0.925436 -1.159289 -1.185964 0.6652205 -1.101945 -0.141047 0.4763824 0.3479098 1.047104 1.223374 1.563476 0.6143507 0.7887065 0.8202712 1.370856 1.387361 1.070834 0.2503314 1.066818 0.2430816 0.3564596 0.7866879 0.650957 1.407071 0.8846395 -0.2566937 0.7562413 0.9331173 0.4876142 -1.912557 0.4114039 0.7817547 -1.602982 0.7513144 1.67619 0.9441563 0.7937069 1.440804 0.3776506 0.9138955 1.382337 1.287696 1.362286 1.660376 1.33984 1.752497 1.321157 0.8441041 0.1327418 1.050611 1.511602 1.254959 1.162446 0.9591871 1.61871 1.373272 0.4486468 0.7790061 0.2666935 0.828451 1.624008 1.510121 1.301773 1.386785 1.386785
-1.94884 0.309186 0.5880151 0.9560499 -1.205934 -3.307907 0.3130473 -2.182793 -0.6781671 -0.3854878 -0.1265323 0.1252845 0.5711416 0.2240738 -0.548295 -3.031838 0.9016587 0.321289 -1.576265 -0.279873 -1.785111 -4.490497 -4.203893 0.09808647 -2.746851 0.573127 -2.946173 -1.901259 0.05453439 -2.111667 1.13502 0.8812631 0.2399609 0.2840447 0.7870281 -3.218954 -0.9240555 -2.335878 0.1792792 -0.6375185 -1.831655 0.226303 -1.270394 -1.661033 0.9804978 -1.059298 -1.474687 -3.680831 -2.755856 -2.698574 -2.259241 -1.287523 1.256955 -1.679075 -5.407405 -0.05534758 -2.412224 1.309982 -0.1513168 -2.908507 -0.2048541 0.2952075 -2.399689 0.4352999 0.6707914 -3.918424 -1.095725 -1.530276 0.2489882 0.5302726 -3.715869 -1.972843 0.7545374 0.5572835 1.141446 0.6474384 1.323565 -6.201458 -6.201458
-0.5418154 -0.2061303 -0.2780729 0.800639 -0.6006321 0.5375597 -1.249663 1.369103 -0.009385489 0.8468105 0.1502966 0.4259591 -0.2600641 -0.655849 0.8700881 1.124337 -0.2181681 0.1655571 -0.07062895 1.05747 1.225824 -0.6168313 -1.169927 -3.747145 -1.566034 1.445417 -0.4791623 -0.05182173 -2.851122 0.2993864 -3.520315 -3.111695 -2.89169 1.434716 -4.139809 -0.0436398 -3.408831 -2.302323 -0.2435681 -3.424761 -1.643103 -3.020273 -4.15241 -5.968737 -3.967424 -1.27908 -4.079205 0.4732478 -1.791864 -3.002751 -3.710345 -0.5072062 -3.554094 -1.210879 -2.958181 -2.896119 -3.499504 -3.321203 -4.257273 -3.391341 -1.58034 -0.8135539 -2.977468 -5.831438 -0.2453009 -4.546596 -3.573122 -1.924794 -3.838349 -1.815664 -4.655398 -5.793249 -6.689722 0.00426466 -3.86043 -7.235617 -1.745585 -3.186358 -3.186358
0.4075202 -0.1305768 -0.2489697 -0.1726093 0.4878932 -0.9125024 -0.2068333 -1.015845 0.4182096 0.555976 0.35447 -1.250863 -1.856003 0.3442959 0.4518162 0.8351557 -0.5665323 0.1585037 0.00824348 0.8180592 -0.6829037 -0.1631985 -0.2281065 0.3134318 -0.7616576 -0.1834056 -0.4606262 -1.207042 0.2253898 -0.280632 -1.107883 0.6446462 -0.8422979 -0.1421909 -1.781918 -2.476016 0.592177 -1.143629 0.4615132 -0.5000262 0.2590851 0.6902524 -1.745506 0.4158104 -0.6569992 0.8858383 0.6445418 -0.9118065 -0.176689 -0.8208863 0.5351156 -0.3847601 -1.122615 -0.230302 -0.486197 -0.8832888 -0.9951942 0.7032308 0.7032308 0.7032308 0.7032308 0.7032308 0.7032308 0.7032308 0.7032308 0.7032308 0.7032308 0.7032308 0.7032308 0.7032308 0.7032308 0.7032308 0.7032308 0.7032308 0.7032308 0.7032308 0.7032308 0.7032308 0.7032308
-0.3359076 -1.280256 0.581175 1.899762 0.6444741 0.3662351 -0.3215321 -0.6341651 -1.742478 0.617432 -1.142145 -2.896206 -1.002914 -3.623085 0.4502198 -2.128265 -2.097705 0.6117013 -0.409577 -0.5078686 -0.3414285 0.8456936 -0.732523 -1.297145 0.4947199 -2.18986 -2.991677 -1.345119 -0.6184528 -2.93689 -0.006014784 -0.9236866 -1.535425 -3.095454 -5.815959 -0.5068606 -0.7019053 -3.78464 -1.572829 -4.216949 0.2588478 -4.311634 -0.3837251 -3.336877 -0.6755145 -2.754832 -1.304106 -3.336816 -1.147374 -3.712031 -0.263374 -3.363905 -1.894643 -1.203651 0.726382 -0.8956148 -4.814327 -0.2079153 -1.899755 -4.227999 -2.259896 -4.568876 -2.410678 -2.795616 -2.187337 -2.492888 -2.615309 -3.212152 -1.921053 -1.432995 -0.3172925 -1.411063 -1.337041 -3.771811 -5.975639 -0.3527582 -2.877184 -4.852532 -4.852532
-0.2485693 0.005021609 1.148064 -1.933323 -0.1128628 0.5285663 0.08761945 1.396883 -0.2218294 0.4411842 -1.96977 -1.183629 1.169773 -1.813411 -0.4531983 -2.042152 -1.2343 0.107339 0.6794328 1.884272 -1.690826 -1.180162 1.217914 -3.067401 0.1229134 -1.407638 0.3832561 -2.238747 -0.5840553 -2.130215 1.549889 -0.6557657 0.5172084 -1.040382 -0.8120709 -0.1071108 0.02225164 -1.773309 -0.9175283 0.4718994 -2.655056 1.566504 0.6269631 0.1227584 0.8437747 1.280406 -0.1797135 -0.1838007 -2.460906 -1.757029 -0.4911639 0.2380241 -2.279115 -0.5169817 1.160593 1.300605 0.503564 -1.721794 -0.4613288 0.07627284 -1.529099 0.3614784 -0.433832 1.310573 0.241058 0.2987072 -0.4823203 -1.311386 -0.5002874 0.4814383 -1.431319 1.03375 -0.1333675 -3.41092 -0.4111857 0.1190005 -0.365358 1.136813 1.136813
-0.573988 -1.435588 0.08601033 -1.650724 -1.755669 -0.5085865 0.6096248 0.9489628 -0.04502818 -1.465705 -0.05404356 -0.6392487 1.234888 -1.663579 0.7688282 0.420228 -0.0868842 -1.321336 1.216338 -1.387211 -0.3357365 -0.8420458 -0.9219111 -1.355174 -0.7255279 0.1295287 -1.274417 -1.091471 -3.242492 -2.290814 -2.742061 0.1721787 -0.157812 -3.698736 -0.3882231 -1.290555 -1.08874 0.01620564 -0.6572679 -1.706446 0.7838364 -0.3974267 -1.677777 -0.5694973 0.9315884 -0.6299621 -1.061142 0.9189819 -0.1515349 1.110449 0.4772944 -2.486921 0.06627517 -1.221598 -0.4327928 -2.306448 -1.318107 0.01086063 -0.007646213 0.5222863 -0.7135264 0.08885557 -0.7905731 -1.995689 -2.341724 -0.9060467 0.008529736 -2.44305 0.9547411 -2.122186 0.7607823 0.5966218 -0.381434 -0.6419743 -2.359621 -0.8149654 -2.986596 -0.9942516 -0.9942516
-1.139063 0.3453374 0.7104872 -1.410292 -2.228735 -1.888339 0.8574781 -0.8064311 -2.097526 -0.4148306 1.200138 -0.3091393 -0.9721849 -1.292412 -2.030789 -1.686616 -0.2286954 -2.093301 -1.803125 -0.3522423 -0.2225703 -2.674127 -1.591703 -2.602887 -1.866841 -0.3911288 -2.741532 -2.428482 -0.3143707 -2.468463 -0.4139971 -2.06424 -1.609494 0.1069383 -1.062326 -2.034669 -1.85837 -1.895838 -2.640362 -2.51156 -2.567547 -2.33165 -1.181602 -2.855878 -0.5976412 -2.800946 -2.81723 -2.220833 -1.924794 -2.756233 -1.276889 -2.504319 -1.864165 -2.628214 -2.051936 -2.131504 -2.632872 -1.783571 -1.538361 -1.505686 -1.270556 -2.014965 -2.562595 -2.440344 -2.758772 -2.164428 -2.402047 -1.6208 -2.03862 -2.048489 -2.526612 -2.169278 -1.732278 -2.520171 -0.691853 -0.7051194 -1.694591 -3.070057 -3.070057
0.3786785 0.3142263 -0.3468187 -0.4415485 -1.350839 -1.608212 -1.083302 -1.251922 -0.3436068 -1.313676 -2.016429 -0.6380101 -1.076243 -0.5986072 -1.427035 -0.6823492 -1.510573 -0.8288863 -0.571629 -1.19835 -0.906477 -0.5504067 -2.059536 -2.129639 -2.781726 -2.109396 -2.30132 -2.40584 -2.333793 -1.385267 -2.523015 -2.199985 -1.715799 -0.9210122 -2.737691 -2.347178 -2.686619 -2.47651 -2.542948 -2.725571 -1.64976 -2.239055 -1.412494 -2.834748 -2.51908 -2.322386 -2.883277 -1.835 -1.375256 -2.276123 -2.762853 -1.769306 -2.491179 -2.233368 -2.585862 -2.483381 -2.524458 -2.861597 -2.781183 -2.224337 -2.409708 -2.606814 -2.653387 -2.199356 -0.655778 -3.105419 -2.430563 -2.679208 -2.59424 -2.272774 -2.364827 -3.107753 -2.897617 -1.116576 -2.644721 -3.26572 -2.883235 -2.399641 -2.399641
-0.3683613 -0.06621778 1.012473 -1.153936 -0.936539 -0.1690259 -0.3215972 -0.1681338 0.2481718 -1.110407 -0.7500057 0.9355901 -0.5266745 0.7640588 0.08433718 -0.714911 0.6970661 1.091611 -0.2570783 -0.6742934 -0.6413353 -1.123613 0.2025127 -1.484626 -1.604168 -0.6063965 -1.671135 0.4896775 -2.181966 -1.454833 0.08397302 -0.6429292 -1.595763 -0.1453989 -0.3092983 1.17368 -2.321223 -0.9063371 0.132486 -0.2852296 0.3772429 -2.479526 0.3530489 -0.215784 -0.3425151 -1.32077 -0.05967065 -1.384748 -0.2985374 -1.858019 -0.5680738 0.8152706 0.2358287 0.536954 -1.644344 -0.7283361 -2.132043 -0.7710484 -0.3184578 -1.788749 -1.450166 -1.456554 -0.9917976 -1.099824 -0.5558732 -1.287272 -1.56848 -1.813094 -0.2841288 -1.659565 -2.545245 -1.207194 -2.045795 -2.244281 -2.789083 -1.650405 -2.156188 -1.608579 -1.608579
0.5058604 -0.2152174 0.588343 -0.2938089 0.5370927 0.6102584 -0.2661783 1.468555 1.453965 0.7368796 0.2450219 0.4166986 2.364378 0.2171426 -0.1905648 0.09301188 -0.5956843 2.239298 -0.825054 -1.145225 -1.184308 -0.3099082 0.7379053 1.162871 -1.020139 -0.9241236 1.832271 0.3857467 0.437056 0.4984333 0.3579831 0.7676781 -0.4279073 0.5104752 -1.092051 -0.03472316 0.6430943 -0.1804655 -0.5419303 -1.689906 -0.1069678 -1.268938 0.3784681 0.2209735 -0.8162108 0.1746699 -0.9608967 -0.2426701 -0.3687764 -0.6295614 -1.13124 0.3437727 -1.054096 -0.6563622 -1.670595 -0.4151941 -0.6127323 -0.8367054 -0.7389972 -0.1431527 -0.6496667 0.1218895 -0.4244582 -0.008688329 -1.336631 -1.331249 0.06812656 -0.6840367 0.7858884 -2.636123 -0.5893171 -2.234968 -0.4358975 -2.532055 -1.634175 0.1132789 -1.581151 -1.542519 -1.542519
-0.5143959 -0.5637658 -1.135291 0.7970438 -0.4179728 -1.314201 0.1418621 -0.4205398 0.3077146 -0.5865127 -0.759561 -1.108566 -0.0578681 -1.156733 -0.7672514 -0.5783225 -0.3744693 -0.567875 -0.9762807 -0.2853932 -0.2555529 -1.07035 -0.120537 -0.9471273 -1.062673 -0.5266344 -0.5061128 -0.6020118 -0.81252 -0.316365 -0.3836843 -0.5691849 -0.3569455 -0.5065188 -1.268662 -0.875361 -1.586733 -1.241771 -0.1330993 -0.8048818 0.2198732 -0.1732945 -0.327352 -0.7994938 -0.4986154 -0.7518497 -0.3573126 -1.00276 -1.330651 -0.4138009 -1.51152 -0.5211636 -0.9996456 -0.656315 -1.047929 -0.004553555 -0.662613 -0.7504713 0.4057663 -1.30846 -0.7116663 0.03821619 -0.6560791 0.06662887 -0.9225924 -0.3734083 -1.014816 -0.8309928 -1.073373 -1.225522 -1.060552 -1.408408 -1.051471 -0.3766954 -0.3094361 -1.411866 -0.6838197 -0.7700827 -0.7700827
-1.925779 -2.58215 -2.809938 0.4133902 -1.093797 -2.219628 0.1998802 0.6325719 -1.647099 -1.535985 -0.6236378 -1.017379 -1.845616 -3.297648 0.9000779 -0.7488852 -1.884059 -1.309447 -1.278196 -3.288374 -1.673929 -1.960618 0.2654502 -1.712814 -2.242504 -2.4272 1.172208 -1.598282 0.6750513 1.125201 -0.9661756 -1.994067 -1.124615 -0.380508 -2.284227 -0.9404901 -2.145373 -1.286272 -1.250961 -2.822093 -1.896564 -1.795521 -0.529025 -2.458192 -1.798013 -2.292855 -2.055524 -2.10463 -1.993923 -1.06416 -1.438929 -2.439789 -1.327732 -1.927992 -0.5918521 -2.96561 -1.779789 -1.170564 0.9470997 -2.214932 -2.373549 -1.535728 -2.179805 -1.992223 -2.403993 -2.407326 -1.81714 -3.38201 -1.902271 -2.691877 -2.308569 -0.393634 -2.462978 -1.325602 -1.556457 -1.27733 -2.261554 -3.389104 -3.389104
1.316129 0.6000009 0.4150237 -0.5775209 -1.488028 -1.191804 -0.6026677 -1.347436 -0.3696013 0.3260254 1.243823 -0.6753119 0.5759955 -0.2537422 0.4601949 0.3409829 -0.6895707 1.051589 -0.01644525 -0.4392548 0.7686576 0.902551 0.8115624 -1.982107 1.881645 -0.1469215 1.952431 -0.8278725 0.9258421 1.107769 2.304137 1.267755 0.1058055 0.0744615 -0.9937494 -0.5627732 -1.945968 -1.226902 -0.3297375 0.7398501 -1.149989 -1.390913 0.2146968 -1.716443 -0.9114206 -0.2321443 2.936305 -0.7867287 -0.3190927 1.50502 1.172711 0.378416 -0.1210747 -0.4936408 1.029321 -0.4573195 -0.3664388 0.1021179 -0.5816432 -0.2518785 -0.8516554 -1.017719 0.7900094 0.4927213 0.687209 -0.7639332 -0.2826503 0.2168723 -0.8355186 -1.104455 1.087946 1.165133 -0.7824203 -0.595868 -1.602956 -0.9438002 0.5700821 1.456517 1.456517
0.9145332 -2.007388 -0.7537668 -1.81144 -0.6762345 -2.548312 -1.940782 -2.106231 1.867196 -0.5407923 -1.816686 -0.5850418 0.5618373 -0.3294175 -1.495613 2.132267 -1.87954 0.82792 0.3661395 -0.9178432 0.6077455 0.5429867 -0.3451255 -1.148385 -1.739895 1.828687 -1.413217 -3.125198 -1.204923 -1.61252 -2.486151 -2.025495 0.9220365 -1.712904 1.187029 -1.858005 -0.485684 -0.7739706 -0.9081179 -3.228318 -2.116106 -2.043976 0.5615605 -2.150171 -1.833364 0.6467034 0.3152974 -3.077653 -2.071273 -1.831187 -1.496124 -0.4858421 -2.367572 -1.005155 0.07190166 -2.085976 -4.132433 -3.432763 -1.459779 -1.499831 -2.884179 -3.947003 -0.459758 -0.3793347 -2.319608 -1.600551 -1.500957 -1.405876 -0.2631708 -3.142711 -2.032613 -1.778019 -1.860962 -3.232221 -1.422375 -1.479585 -2.516354 -4.588237 -4.588237
###########################################################
# srvy_rep_EupO_integrated
0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124 0.1220124
-0.1919136 2.542678 0.0168867 0.5786291 -0.310725 -0.410029 -1.166543 -2.051287 0.6151366 -0.3927184 -2.273992 -1.9715 2.10129 0.318605 -0.5649533 0.2466102 -1.952436 -0.2010449 1.292022 1.848554 0.504631 -0.1386102 -0.7899601 -0.8818988 0.03484074 -0.1285199 -1.55723 -1.629264 -1.711487 -2.678501 -1.157457 0.7144513 -1.559571 -2.339589 -3.423041 -1.490727 -1.368508 -3.755984 -2.814473 -2.1085 -0.8104042 -2.657259 -1.192699 -3.20063 -2.402239 -2.83555 -2.987936 -2.881824 0.4241712 -2.010634 -1.342693 -3.086628 -0.5565604 -2.76235 -0.8575668 -3.283931 -2.041319 -2.060211 -3.064653 -4.588929 -4.29532 -4.039118 -3.33027 -2.909852 -4.188113 -4.132556 -4.363521 -3.740271 -3.918335 -1.962836 -2.698804 -3.70843 -2.656223 -4.011128 -3.620795 -1.981119 -4.966255 -5.200362 -5.200362
-0.7745099 -0.5480075 -0.2603151 0.7739704 -0.8926472 -1.901883 -0.9354075 1.268407 1.076633 0.25547 0.08533551 1.187405 -1.594265 -1.77311 0.6662086 -0.3845945 -1.403559 1.014462 -0.7547474 0.4263268 -1.363649 1.009986 -0.840702 0.1842822 -0.9745623 -1.161619 -0.7918954 0.7111643 -0.9310026 -0.6670655 1.900155 2.256603 2.479597 -1.22957 -1.978533 -2.270866 0.254981 -0.1628244 0.7001255 -1.796693 -1.45173 1.109878 0.9775249 -0.3726603 -1.967926 0.8980464 -0.8086279 -1.982419 -1.425056 -0.6392017 0.1591573 -1.019006 -1.205137 -2.778893 -1.36053 -0.7023002 0.4436335 1.615356 -0.6983425 -0.6983425 -0.6983425 -0.6983425 -0.6983425 -0.6983425 -0.6983425 -0.6983425 -0.6983425 -0.6983425 -0.6983425 -0.6983425 -0.6983425 -0.6983425 -0.6983425 -0.6983425 -0.6983425 -0.6983425 -0.6983425 -0.6983425 -0.6983425
-0.2679131 2.073608 0.1480762 0.3782821 0.10976 -0.1529263 -2.339795 -1.917165 0.8309785 -0.06154759 -2.166363 -1.860492 1.799836 0.08247488 -0.7939204 -0.2870531 -1.915836 0.2531988 1.730791 1.835748 0.8927883 0.3232397 -0.9481331 -0.4974114 0.5371965 -0.154305 -1.53988 -1.474365 -0.8083802 -2.277382 -0.7188057 0.8402243 -1.316847 -2.251616 -2.876049 -0.6175263 -0.7603467 -3.179657 -2.244142 -1.207023 -0.03584528 -2.178438 -0.3118338 -3.184724 -2.054289 -2.491332 -2.120572 -1.95225 0.6499498 -1.912103 -0.9229946 -2.52955 -0.4806654 -2.263438 -1.086037 -2.482836 -1.890473 -1.522681 -2.586433 -4.35041 -3.489363 -3.245508 -2.270829 -2.446578 -3.799418 -3.586654 -4.228001 -3.208953 -2.626097 -1.127973 -2.022607 -3.924507 -2.098467 -3.172673 -3.2701 -1.565651 -4.484467 -4.510726 -4.510726
0.04061064 0.02806669 0.949703 0.4317177 0.6503242 -0.5351036 0.457519 1.134062 0.7082915 -0.3593156 0.6043988 -0.7710634 -0.6963075 0.0198595 1.631175 -0.9804195 -0.7626606 0.4405902 1.268351 0.3725896 0.3260292 -0.370513 -0.1449661 1.748867 0.08488238 1.196003 0.4216087 0.4384144 -0.3750466 -0.4895666 0.09419134 0.9497565 0.3650046 0.8579001 1.163103 0.05849348 -0.0544564 0.6043443 0.9479439 0.9748611 -0.1888786 -0.5897312 -0.4758575 -0.2808262 0.3651419 0.08291029 -0.8918873 0.3605327 -0.03713059 1.202498 1.329617 0.5627717 0.3929356 0.1819844 0.3715972 -0.177469 -0.2653712 -0.2965418 0.904972 0.3258311 0.7991126 1.031389 0.5876368 -0.2317902 -1.125365 0.02094333 1.21801 0.9511965 0.6958153 1.062327 1.034936 1.191767 0.4801222 -0.1548054 0.5508216 -0.3545432 -0.9019592 -0.4358788 -0.4358788
