#Models
# hindcast # H16_CMIP5_CESM_BIO_rcp85 # H16_CMIP5_CESM_rcp45 # H16_CMIP5_CESM_rcp85 # H16_CMIP5_GFDL_BIO_rcp85 # H16_CMIP5_GFDL_rcp45 # H16_CMIP5_GFDL_rcp85 # H16_CMIP5_MIROC_rcp45 # H16_CMIP5_MIROC_rcp85 # K20P19_CMIP5_CESM_rcp45 # K20P19_CMIP5_CESM_rcp85 # K20P19_CMIP5_GFDL_rcp45 # K20P19_CMIP5_GFDL_rcp85 # K20P19_CMIP5_MIROC_rcp45 # K20P19_CMIP5_MIROC_rcp85 # K20P19_CMIP6_cesm_ssp126 # K20P19_CMIP6_cesm_ssp585 # K20P19_CMIP6_gfdl_ssp126 # K20P19_CMIP6_gfdl_ssp585 # K20P19_CMIP6_miroc_ssp126 # K20P19_CMIP6_miroc_ssp585
#nEatcovs
1
#Eat_covs
3
#n_fut_itr : number of future temperature simulations 
21
#nyrs_fut : (1, n_fut_itr) number years for the zooplankton data 
79
#fut_years : matrix(n_fut_itr,nyrs_fut) years for the zooplankton data 
2022 2023 2024 2025 2026 2027 2028 2029 2030 2031 2032 2033 2034 2035 2036 2037 2038 2039 2040 2041 2042 2043 2044 2045 2046 2047 2048 2049 2050 2051 2052 2053 2054 2055 2056 2057 2058 2059 2060 2061 2062 2063 2064 2065 2066 2067 2068 2069 2070 2071 2072 2073 2074 2075 2076 2077 2078 2079 2080 2081 2082 2083 2084 2085 2086 2087 2088 2089 2090 2091 2092 2093 2094 2095 2096 2097 2098 2099 2100
#ncov_fut : number of covariates 
61
-1.608866 2.234274 -1.735422 -0.8251868 0.3684898 0.3411018 -0.6288855 -2.465034 1.029972 -0.130705 0.6737715 0.3773255 1.127894 1.612511 1.917245 2.221022 2.090391 0.5053257 -0.1057691 1.353061 -1.21354 -1.949719 -4.561051 -2.113713 -3.129203 -0.9739202 -4.023508 -3.888393 -3.395753 -2.76156 -1.165574 0.0945144 -0.6846032 -0.2479285 -0.07243503 -1.573734 -1.896331 -2.794374 -0.7501901 1.189439 -1.681773 -1.929225 0.4835904 -1.238711 0.7327773 -2.144746 0.3182654 -2.494634 -3.251425 0.1634092 -0.6475224 -1.603166 0.1728562 -1.240554 -3.834361 -3.881588 -4.359045 -3.63823 -3.537086 -3.988807 -1.74396 -2.584021 -3.732597 -3.050038 -4.329467 -2.964742 -1.882336 -3.555369 -4.309172 -2.302867 -0.7702156 -0.343043 -1.019015 -2.66877 -2.096365 -4.568307 -4.363026 -0.6427535 -0.6427535
1.741773 0.4145584 1.009028 -2.057894 1.161402 1.673822 -0.5710973 -2.142145 -0.5382521 1.937117 -0.2941265 0.2834267 1.068098 -0.1018932 2.611562 -0.4316335 0.05705761 0.1682529 0.2159027 -0.6850158 -2.099382 3.569208 0.7725792 -1.977302 1.488194 -0.8915964 0.3309258 -2.381234 1.43667 -0.02038649 -0.1186783 1.20322 1.89597 2.271291 -0.1631048 0.5391354 0.4845779 0.6558709 0.5538941 -0.4122011 -2.893593 1.582083 1.01584 0.08074985 -0.797519 -1.246075 -1.651754 -0.5255551 -1.058008 2.782562 0.7048116 -2.073931 -2.238015 0.03929686 0.8895742 -1.149887 -2.215812 -0.9616736 -2.958001 3.923474 -1.633091 2.744915 0.3272942 1.756554 2.210113 2.505186 1.300342 -3.213161 1.161731 2.165163 -0.5971351 1.424625 1.19449 -1.951248 -1.238015 2.383186 0.6269779 -0.4920283 -0.4920283
-0.8105652 1.82551 -0.7758208 -0.674212 0.7894718 -0.7008233 -0.6922332 -0.8297237 1.852376 0.1779587 2.021259 -0.3566635 -0.1562434 0.9484582 1.038797 0.8973877 0.5223514 0.3774508 -0.2599103 0.5010588 0.1178058 -0.0306563 -6.861855 -1.976712 -2.053836 -0.01594997 -7.997952 -5.101136 -3.639246 -3.234933 0.569028 1.191541 -1.575716 1.345588 -0.3946598 -1.747446 -2.414517 -1.787245 -0.9190208 1.595081 -0.9640809 -3.242761 2.148578 -0.7685311 1.106824 -1.865226 1.154688 -3.840463 -2.192466 0.6546027 -0.4506695 -0.6032563 -0.4407226 -1.524882 -6.385811 -5.632045 -6.281408 -1.637849 -4.557387 -6.144217 -0.3826809 -1.326737 -1.951916 -3.641083 -2.938407 -2.398737 -0.8204631 -5.319491 -2.634875 -2.453948 0.02896815 -0.1234198 -0.5672831 -4.308422 -2.357467 -2.689101 -6.006777 0.8545768 0.8545768
-0.6533566 -5.82722 -3.105079 -4.901269 -2.293268 -2.599823 -2.474004 -3.21291 -0.8779135 -3.276513 -5.004667 -7.650839 -5.24131 -9.3646 -5.941797 -4.372576 -3.809789 -5.566763 -4.247811 -5.779856 -6.560521 -6.07414 -9.281866 -3.4948 -4.701184 -5.16291 -7.20188 -6.717455 -3.875323 -4.001752 -1.74334 -5.551007 -1.728253 -3.345272 -1.489823 -6.678778 -4.988388 -3.118638 -4.729863 -5.014955 -8.43251 -2.362669 -7.764266 -6.736632 -5.431111 -1.891068 -6.940368 -5.156903 -6.58144 -9.653101 -10.63815 -7.931472 -9.739457 -5.582196 -12.69838 -9.393011 -4.470946 -8.676262 -7.150584 -9.707795 -10.10289 -4.568173 -3.126196 -5.924554 -5.30352 -8.628132 -5.736973 -10.43296 -6.581909 -6.761608 -11.97632 -8.060689 -6.42206 -5.202507 -5.912992 -8.515826 -10.20155 -9.995241 -9.995241
0.8332247 0.5744093 -0.8676768 -0.8209601 -2.117156 -2.388072 -2.590563 -1.842674 0.1941357 -0.1444376 -0.3849826 -2.470155 -2.334789 -5.21834 -3.077606 -1.04631 -2.49302 -2.314311 -0.7955573 -1.458691 -1.081441 -2.433836 -2.657054 -2.903119 -5.219979 -5.690453 -3.071633 -2.529736 -5.097335 -2.375828 -5.36837 -6.464423 -4.554862 -5.280608 -8.766732 -5.335543 -5.807835 -9.495099 -3.292961 -4.656449 -4.714083 -6.394946 -8.888668 -6.893434 -8.634741 -6.211872 -5.271675 -9.487348 -10.88584 -7.535012 -7.146675 -10.07222 -9.150123 -8.650494 -8.683655 -6.916878 -7.374003 -10.07641 -9.456651 -10.1723 -9.730527 -7.809777 -9.10419 -10.31101 -10.72309 -8.859626 -9.010104 -7.893557 -8.517023 -10.35052 -10.65663 -11.12048 -8.709143 -9.18973 -10.79531 -10.88235 -9.893648 -9.466843 -9.466843
0.7804252 0.3526479 -1.066253 2.294195 1.962323 -2.344789 2.315597 0.637756 0.9925849 -2.096773 0.2292811 -1.001458 2.449199 1.127083 4.961051 3.670309 2.81878 -1.282835 2.337303 1.501875 -1.731606 0.8901186 1.408617 0.5256031 0.264129 -0.9650368 -2.420576 -1.323638 0.22768 -2.690673 0.8011719 2.017125 1.835928 2.240586 -1.007682 1.387967 -1.227681 0.9523557 -2.578967 -2.824029 0.6354386 2.106656 2.047306 2.436293 -2.032141 -0.07163313 1.965357 3.678114 0.6115433 1.101325 0.4398865 1.108879 0.3326631 2.033443 1.656643 -1.747573 -0.4083939 1.202743 1.202743 1.202743 1.202743 1.202743 1.202743 1.202743 1.202743 1.202743 1.202743 1.202743 1.202743 1.202743 1.202743 1.202743 1.202743 1.202743 1.202743 1.202743 1.202743 1.202743 1.202743
0.736145 1.340381 0.1435876 0.4483669 0.6266863 -0.5145526 -1.967606 -1.934577 1.899787 3.504447 0.6732929 2.163055 2.893594 2.643887 1.026427 1.713916 -0.476873 -0.1270997 0.4089678 2.218032 -1.121285 -0.009585693 0.2593958 0.6994611 -0.8393196 0.1925329 0.2021417 0.1263553 -0.5849739 0.7631007 1.200131 1.483724 0.1159078 1.671598 0.6313526 0.5706137 2.136527 -2.426823 -0.3146932 -1.164842 -1.404483 1.490627 -0.2731409 -0.6763218 -0.09419057 1.027112 0.1872934 -0.8684706 -0.7334289 -0.2221514 -0.04856775 1.435817 -0.0977597 1.109938 -1.309803 0.1074157 -0.7206418 0.7008662 -2.97648 -1.425213 -1.629133 0.1495924 -0.5097592 -2.206642 -1.599509 -0.09488763 2.166091 -2.176778 -1.002339 -1.809261 -1.249057 0.4696897 -1.438737 0.3903881 -1.070329 -0.3994289 -1.44973 -2.735088 -2.735088
0.8163883 0.00743091 -0.8353673 -1.319564 0.9870277 1.624268 1.785647 -2.186558 0.1497807 1.536081 -0.03298728 1.788312 2.205483 1.410015 0.1235113 2.516518 0.9644187 -0.4822247 2.68744 2.461395 -0.9985187 0.8746806 0.4052827 0.4871309 -0.1910384 -1.812629 -0.1878262 -2.672077 -1.276509 -1.35945 2.578762 -1.96423 -2.489682 -2.238437 -0.3967215 -0.4622156 -0.695794 -2.506493 0.9774606 1.265598 0.03921222 0.6614696 1.379515 0.4489815 -1.080645 -0.9162285 1.603549 -2.231916 -0.6637792 1.424453 0.9922982 -2.721062 -1.418955 -1.144973 1.627285 -0.3071621 0.1008855 -2.057885 -3.402026 -0.8383519 -0.4785337 2.958683 0.842289 1.391127 0.1125023 -1.368265 1.200445 -1.637922 -0.3108006 1.657409 -2.290358 -0.3200103 -3.484951 -2.684392 -0.09620929 1.252778 1.598437 3.590255 3.590255
1.967393 0.6192372 0.3798471 -0.1187042 2.114236 0.14477 2.09215 -0.3556626 -1.399631 -1.120829 1.688693 0.4771952 0.4856355 0.8586961 1.404004 1.246269 0.5165618 0.947531 -2.312894 1.711455 1.150215 0.2077512 -4.146781 -2.048987 -0.225568 -0.9663254 -3.615491 -0.6824595 -0.7116013 -1.75587 0.9233876 1.737004 -0.3537812 1.153121 0.7261953 -0.2693761 -1.254396 -0.7933272 0.2259636 0.04034388 -0.223736 1.752826 -0.5576324 -0.03440282 0.1939833 -0.2969326 0.001516431 -2.378095 -0.1862789 0.5071448 -1.551553 -0.3670308 0.4027719 -0.344389 -1.429374 -3.304174 -0.2790999 0.8986715 -1.521796 -3.27201 -1.058396 0.02289191 -2.471076 0.7237049 -1.702429 -1.513814 -0.7880086 -2.396899 1.500951 0.4912503 -1.629028 -0.6641312 -1.374073 0.1693008 -0.3054962 -0.8157124 -4.635616 1.885432 1.885432
0.2419648 -5.34901 0.1619398 -2.96639 -2.674847 -4.36273 -1.480187 -2.351803 -0.7192704 -1.997369 -4.172706 -3.934347 -3.423168 -3.87863 -1.210277 -3.35511 -3.353826 -5.165275 -1.778059 -5.37493 -6.483856 -6.451915 -6.498274 -3.462819 -5.017441 -3.653978 -4.813741 -4.180667 -4.126737 -3.819142 -1.643602 -4.353368 -3.374274 -3.566413 -5.20592 -3.472853 -4.755284 -3.176752 -3.114977 -6.143538 -3.862073 -3.334535 -5.515598 -6.314851 -4.742907 -3.114749 -6.568911 -3.002355 -7.524692 -8.865953 -8.372748 -4.302087 -5.401882 -3.895315 -7.304687 -8.942149 -4.00481 -7.082787 -6.548225 -7.311821 -9.884018 -5.536648 -3.833625 -5.278919 -5.256175 -7.219637 -6.035519 -7.958557 -5.602567 -4.496505 -9.156834 -7.113147 -6.516188 -3.542121 -4.388521 -5.172859 -7.717349 -8.880442 -8.880442
