2024 2025 2026 2027 2028 2029 2030 2031 2032 2033 2034 2035 2036 2037 2038 2039 2040 2041 2042 2043 2044 2045 2046 2047 2048 2049 2050 2051 2052 2053 2054 2055 2056 2057 2058 2059 2060 2061 2062 2063 2064 2065 2066 2067 2068 2069 2070 2071 2072 2073 2074 2075 2076 2077 2078 2079 2080 2081 2082 2083 2084 2085 2086 2087 2088 2089 2090 2091 2092 2093 2094 2095 2096 2097 2098 2099
#ncov_fut : number of covariates 
42
###########################################################
#  | mn_Hind
#  | cesm_rcp45
#  | gfdl_rcp45
#  | miroc_rcp45
#  | cesm_rcp85
#  | gfdl_rcp85
#  | miroc_rcp85
#  | cesm_ssp126
#  | gfdl_ssp126
#  | miroc_ssp126
#  | cesm_ssp585
-2.490051 -1.220242 -0.6869395 -0.6224206 -1.319091 -0.7570178 -0.4012967 -1.912112 -4.012808 -1.51386 -2.797787 -5.511515 -4.764417 -2.58917 -2.138979 -2.293525 -2.252315 -3.063399 -2.080092 -2.59527 -3.160041 -2.35947 -2.688459 -2.781745 -4.163854 -3.512694 -2.638938 -2.700323 -2.875395 -4.658477 -6.298793 -4.761638 -3.713891 -3.160431 -3.866904 -4.45735 -3.512937 -4.595564 -4.174842 -4.608185 -5.131494 -5.137291 -4.862807 -5.423437 -5.613831 -5.210802 -5.279601 -5.834215 -5.906431 -5.853928 -6.886673 -8.032495 -6.318295 -6.325813 -6.110705 -6.743394 -6.88309 -6.447761 -7.200938 -6.403075 -6.910768 -6.906782 -7.757176 -7.072059 -7.900299 -7.524149 -7.060148 -8.224142 -8.236817 -8.214983 -8.165572 -8.431727 -8.314046 -8.962094 -8.502918 -8.854777
-0.692314 -0.9343543 -0.6744913 -1.152993 -2.42546 -1.089743 -0.396337 -0.7424982 -0.604206 -0.903984 -2.376165 -1.921863 -1.591199 -2.327412 -3.10401 -3.699361 -2.914071 -1.390363 -3.024555 -2.62249 -2.51417 -1.741214 -2.171012 -2.360409 -3.133033 -3.427973 -3.368588 -2.951824 -2.971686 -4.552151 -5.439532 -4.689738 -4.331284 -4.435879 -4.217924 -4.087715 -4.666501 -4.558311 -5.224532 -5.54156 -5.4348 -4.969862 -6.624982 -5.799678 -6.327369 -6.137884 -5.975923 -6.085193 -6.772502 -6.242126 -7.009562 -6.901987 -6.661247 -6.589043 -6.673891 -6.691676 -7.005092 -7.174226 -6.84514 -7.345499 -7.466828 -7.75205 -8.315965 -7.159063 -7.316686 -8.147353 -8.288873 -8.524099 -9.046093 -8.858252 -9.245425 -9.365047 -9.101461 -9.251786 -8.985654 -8.444454
-0.06579516 -0.7308454 -0.9543536 -0.4199982 -0.6144723 -0.4462454 -0.6599277 -1.056973 -0.3685245 -1.391831 -1.550276 -1.467815 -1.398186 -0.4046319 -0.8350828 -1.788693 -2.962095 -2.082178 -1.940647 -2.237898 -2.364634 -2.314376 -1.246602 -1.624464 -1.341767 -1.373796 -2.036318 -2.199595 -2.900306 -1.621828 -1.896902 -2.037747 -3.055573 -2.883144 -2.44531 -2.782387 -2.683548 -3.021261 -3.410703 -5.431081 -4.084532 -4.729312 -4.120379 -3.798252 -4.589402 -4.216982 -3.760588 -3.67482 -3.246197 -4.800288 -4.988001 -4.353478 -4.292714 -4.895988 -4.69541 -5.39919 -5.152961 -5.520265 -4.983874 -5.42414 -5.629027 -6.487181 -6.084433 -6.273047 -6.104431 -6.986634 -7.330981 -7.911372 -6.90868 -6.326306 -6.773061 -8.156354 -8.624711 -8.719011 -8.925051 -8.137691
-0.7195308 -1.397303 -0.9137133 -1.039986 -1.675187 -1.761554 -1.397085 -1.911773 -1.64926 -1.605344 -2.112505 -2.311303 -2.453682 -2.595692 -1.673669 -1.555191 -1.934024 -2.488318 -2.449066 -1.930322 -2.772888 -2.117639 -2.31629 -2.339022 -1.853552 -1.670629 -2.585442 -2.206398 -1.571302 -1.933787 -3.022086 -2.752924 -2.797907 -3.525152 -2.815535 -2.189472 -1.993992 -1.938865 -2.621472 -3.109378 -2.836404 -2.399254 -2.770055 -2.581575 -2.620221 -2.4534 -2.35061 -2.247567 -1.8234 -2.676787 -2.635516 -2.457359 -2.700672 -2.436359 -1.867638 -1.715616 -1.830516 -2.01407 -1.883128 -1.667262 -1.178741 -1.833335 -1.676083 -2.046492 -1.102264 -1.461906 -1.496902 -1.711035 -1.921701 -2.354188 -2.269439 -1.26909 -1.682517 -1.247463 -1.810642 -1.868257
-5.095667 -5.598461 -3.788483 -1.395654 -2.364034 -2.574733 -0.8892154 -0.5710991 -0.484127 -1.142157 -1.030717 -0.8312067 -1.508415 -1.692762 -1.88987 -1.456406 -1.821022 -2.09444 -1.546588 -1.116109 -1.678983 -2.755944 -1.641631 -1.007527 -1.589229 -1.375672 -0.8156143 -1.525119 -1.105611 -1.431951 -1.538743 -1.308378 -1.688784 -1.654437 -2.697599 -1.781947 -1.67267 -2.514546 -2.091767 -2.136189 -3.128145 -2.981051 -2.405806 -2.530373 -2.23572 -2.73346 -1.66434 -1.975566 -2.426654 -2.450916 -2.298907 -0.9603357 -1.294566 -2.622449 -3.940801 -3.150187 -2.997014 -1.369651 -1.130514 -0.8844706 -0.7039955 -1.923842 -2.759849 -2.246747 -1.703143 -0.9613843 -1.181167 -0.5186295 -1.477641 -2.766588 -1.706695 -1.18688 -1.171526 -0.9982195 -0.1026433 0.4327634
-2.711033 -0.9724508 -0.3708468 -1.290515 -1.920581 -1.585484 -1.718327 -1.807066 -2.07303 -3.185709 -2.10993 -1.497842 -2.230332 -1.906409 -2.527159 -2.672409 -2.810287 -3.085186 -3.498277 -2.839472 -2.283219 -2.916433 -2.705012 -2.106615 -1.911729 -3.268063 -3.49998 -3.071391 -2.386741 -2.039425 -2.764325 -2.325722 -2.1205 -1.704929 -1.523403 -0.8013072 -0.5542007 -1.279271 -1.10094 -0.9758073 -1.095421 -2.020039 -3.048331 -2.500326 -1.607165 -1.923283 -2.939012 -3.051607 -2.079355 -2.868021 -2.260409 -1.574577 -1.765769 -1.917028 -1.571382 -2.01817 -1.497727 -2.09562 -2.183556 -1.427188 -1.591108 -2.558719 -3.25253 -2.609024 -2.194507 -1.824835 -2.487238 -2.171775 -1.688748 -2.325056 -2.387425 -2.277819 -2.860869 -1.915356 -0.546023 -1.644471
-1.487859 -1.710023 -2.083527 -1.622984 -1.631138 -1.58371 -1.345991 -2.214878 -2.808721 -2.41975 -2.372251 -3.023337 -3.650174 -2.393676 -2.899297 -2.862123 -3.618639 -3.10535 -3.236885 -3.343907 -3.898924 -4.223872 -4.546605 -3.734385 -3.990657 -4.435645 -4.9541 -4.984365 -5.150748 -4.633273 -4.920643 -4.760955 -5.4621 -5.361643 -5.361263 -5.431722 -5.587584 -6.144904 -6.19534 -6.191088 -6.524109 -6.655109 -7.13515 -7.008608 -7.118367 -7.332181 -7.532433 -7.679927 -7.68028 -7.795878 -8.19208 -8.424408 -8.637679 -8.558827 -8.711934 -9.427944 -9.182104 -9.237914 -9.651708 -9.798658 -9.999787 -10.14117 -10.2989 -10.18369 -10.6378 -10.61599 -11.13966 -11.14604 -11.25645 -11.39003 -11.55935 -11.86393 -12.14837 -12.08904 -12.3724 -12.45004
-2.430626 -4.07084 -4.011539 -2.026352 -2.966298 -2.06034 -0.7056761 -0.8828592 -0.3360177 -0.1812481 -0.9950447 -2.318962 -2.871993 -3.21923 -2.717376 -1.510999 -2.266287 -2.123663 -2.437772 -2.391456 -1.794143 -2.031024 -2.54388 -4.192693 -6.456551 -7.227265 -7.184256 -6.149594 -5.09307 -5.047746 -5.967081 -5.201032 -5.283787 -6.393136 -6.22316 -5.923134 -5.152358 -6.247455 -5.231385 -6.718021 -7.395987 -6.260584 -6.096328 -6.176011 -6.10541 -5.729081 -6.724801 -6.556653 -7.167273 -7.347924 -6.931111 -6.993142 -7.034636 -8.023879 -8.028778 -7.582002 -7.934397 -7.555175 -7.918639 -8.623856 -8.51224 -8.793212 -8.717672 -8.337335 -8.950051 -9.888308 -9.521841 -9.721297 -9.782619 -9.924398 -10.26424 -10.4877 -10.9033 -10.74582 -12.09923 -12.17357
-0.1796272 -0.4684574 -0.2354436 -0.9745812 -0.6874806 -1.509441 -2.27984 -1.9729 -1.550488 -2.378813 -2.711595 -2.975483 -2.734045 -2.785292 -3.468732 -1.999306 -2.029089 -2.611979 -3.061328 -3.232004 -3.445289 -2.55404 -2.739251 -4.35479 -3.54159 -3.850495 -3.896291 -3.255698 -3.875992 -3.554285 -3.748793 -4.476102 -4.787018 -4.980385 -4.772704 -4.986291 -5.200439 -5.644797 -5.47253 -4.879835 -4.883401 -5.7515 -5.318787 -5.707355 -5.957878 -6.725096 -6.231825 -6.289745 -6.576093 -7.272168 -7.112041 -7.187974 -7.755777 -8.455146 -8.115 -7.773486 -7.745561 -8.258958 -8.548292 -8.582553 -8.579156 -9.452773 -9.668534 -9.531305 -9.746701 -9.61588 -9.655038 -9.787884 -9.908615 -9.995364 -10.23234 -10.4834 -10.86757 -10.81792 -10.79204 -11.12982
#  Spring_vNorth_surface5m : Spring_vNorth_surface5m
