#COVAR_START ##############################################DO NOT REMOVE THIS LINE OR REC FIT WONT RUN!
1.625959 1.125282 0.8087027 -0.04837478 0.385662 -0.1052163 -0.1674202 0.7255492 0.8703361 -0.3874592 0.22102 0.005659935 -0.06031051 0.05072195 1.329721 -0.06273702 -0.5559082 1.853135 1.27863 0.2178808 -1.450271 0.4297227 0.3782793 1.309603 1.99324 1.296566 1.068926 -0.3845788 -0.1288202 -1.35398 -0.6189281 -0.5182219 -2.263658 -1.645871 0.8942661 1.640118 1.352886 2.191087 0.4146806 2.199915 2.851228 0.8250191 0.8250191 0.825019
# spring_Eup_tot_integrated :
1.229506 0.4964291 0.6192856 1.190206 -0.1219093 0.5272189 0.4606747 0.554326 0.6468775 -0.4551293 0.09204184 -0.3131013 -0.6030757 0.2599896 0.7931922 -0.2404103 -0.7247023 1.751571 2.372357 -0.2378638 -1.435445 0.608746 0.6568303 1.472033 1.881046 1.321268 0.9732545 -0.1101151 0.2813105 -1.034108 -0.3529197 -0.3724339 -2.267331 -1.666594 1.741821 1.887134 1.462661 1.51077 1.639766 2.423872 4.391528 2.223242 2.223242 2.22324
# spring_Eup_tot_surface5m :
1.551425 1.042034 0.7405672 -0.06302902 0.2947063 -0.0380944 -0.1117822 0.6930905 0.9285851 -0.3681858 0.1528711 -0.07786886 -0.1041328 0.000411053 1.363933 -0.00119511 -0.5848938 1.988119 1.381993 0.244931 -1.395205 0.5395007 0.5288389 1.366534 2.084703 1.300104 1.185303 -0.2288538 0.0153034 -1.289605 -0.4305729 -0.4266223 -2.419146 -1.532343 1.22386 1.760044 1.421105 2.150593 0.4334887 2.309355 3.082198 1.018066 1.018066 1.01806
# spring_Ztot_large_integrated :
1.328374 0.5372542 0.6854848 1.153322 -0.09481504 0.6030923 0.2613232 0.4538063 0.6090343 -0.549124 0.1404249 -0.2350142 -0.6888837 0.3285507 0.9108594 -0.2658999 -0.7200974 1.6604 2.299922 -0.2601865 -1.486207 0.634922 0.5629494 1.495631 1.951526 1.288684 0.9824508 -0.2598738 0.3019716 -1.121113 -0.3434908 -0.3559605 -2.19284 -1.599183 1.752 2.050717 1.420135 1.615195 1.725696 2.602148 4.602357 2.337158 2.337158 2.33715
# spring_Ztot_large_surface5m :
1.577168 1.065946 0.7669986 -0.1970702 0.3525647 -0.01495081 -0.3059311 0.6216458 0.8209682 -0.4670573 0.1625199 -0.01254116 -0.1661299 0.04802582 1.464273 -0.01536558 -0.5676015 1.94432 1.379614 0.2210129 -1.369698 0.5852849 0.4468702 1.41839 2.22755 1.372424 1.242016 -0.3039739 0.08508887 -1.275263 -0.3447876 -0.3870077 -2.371728 -1.450933 1.271572 1.932214 1.4211 2.288013 0.5138238 2.443383 3.211601 1.180127 1.180127 1.18012
# srvy_rep_aice :
